HR EXPENSES March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,Vendor,Service,Payment frequency,Annual commitment,Monthly Average,"Actual 
expense",HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,CPCL NILGIRIS,LSGB,HR REVENUE,,Month,HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,"HLL Cotton Hill, Trivandrum",Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,HMA HR REVENUE,LSGB,
4,Volks Electronics,Desktop rental,Monthly,720000,57652,61720,0,0,0,,0,0,0,0,,0,,61720,,,October 2025,,,,,,,,,,,,,,
5,Asianet,Internet Services,Quarterly,56640,0,7076.46,0,784.46,0,0,,0,0,0,0,0,,,,,November 2025,,,,,,,,,,,,,,
,Oval Blue Technologies,Photocopier HR,Monthly,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMIN EXPENSE BOOKING - APRIL 2026,,,,,,,,,,,,,,,,,,,,,December 2025,,,,,,,,,,,,,,
Sl No,Vendor,Service,Payment frequency,Annual commitment,Monthly Average,"Actual 
expense",HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,CPCL NILGIRIS,LSGB,HR REVENUE,HR Revenue,,,,,,,,,,,,,,,
7,Dr Anandam,House Rent,Monthly,1800000,150000,119100,,,,,,,,,,,,119100,,,,,,,,,,,,,,,,,
8,BSNL,Land Line,Monthly,24000,2000,1976,,,,,,,988,,,,,,988,,,,,,,,,,,,,,,,
9,KSEB,Electricity Bill,Monthly,264000,22000,26143,,,,,,,,,,,,13071.5,13071.5,,,,,,,,,,,,,,,,
10,KWA,Water Bill,Monthly,96000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Subramania Industries,DG AMC,Half Yearly,10000,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
